"record_id","record_name","domain_id","domain_label","capability_id","capability_label","method_role","contribution_class","contribution_status","maturity","formula_version","interactive_state","can_render","formula_status","proposed_formula","implemented_formula","required_inputs","temporal_operator","spatial_operator","units","physical_rationale","intended_use_and_inference_limit","calibration_status","validation_status","event_evidence_status","source_name","source_url","bookmark_label","bookmark_latitude","bookmark_longitude","bookmark_zoom","bookmark_window_end_date","bookmark_date_role","acquisition_timestamp","acquisition_cloud_cover","display_qc_verdict","display_visible_percent","display_high_signal_percent","display_p99_luma","display_qc_generated","display_qc_interpretation_limit","audit_date","source_commit"
"TPERI","Thermokarst Pond-Edge Context","permafrost","Permafrost & Arctic","permafrost-change","Permafrost & Peat Change","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Expansion rate = [Area(t2)−Area(t1)] / [t2−t1], with boundary-registration uncertainty","I[B12>0.08 and −0.2<NDWI<0.4] × max(0,NDWI+0.2) × 3","Sentinel-2 bi-temporal","Single-scene","Per-pixel","Live: dimensionless context; proposed rate: area/time or distance/time","The live layer is a single-scene wet peat-edge feature. Rate and expansion require registered dates and mapped boundaries.","Selects candidate pond margins for a reproducible change-rate workflow.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Natural Resources Canada Mackenzie Valley permafrost monitoring publication","https://ostrnrcan-dostrncan.canada.ca/entities/publication/322833e9-a6fa-41bc-8b67-de66b1b39940","Mackenzie Delta Canada — thermokarst","68.4","-134.9","11","2021-08-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","5.151","3.964","0.7174","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PCEI","Peat Carbon Exposure Index","permafrost","Permafrost & Arctic","permafrost-change","Permafrost & Peat Change","primary","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","(1−NDVI) × high_SWIR2 × (1−NDWI)","(1−NDVI) × high_SWIR2 × (1−NDWI)","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","Exposed dark peat (thawed, not waterlogged) has distinctive spectral signature: low NIR (low NDVI), elevated SWIR2 from organic matter, and low surface moisture (low NDWI).","Satellite proxy for peat carbon vulnerability — identifies zones at highest risk of rapid oxidation.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","WCS Canada Hudson Bay Lowland peatland synthesis","https://wcscanada.org/about/our-programs/forests-peatlands-and-climate-change/synthesis-of-peatland-knowledge-in-the-hudson-bay-lowland/","Hudson Bay lowlands — peat exposure","55","-84","11","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","52.721","40.941","0.7186","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SABSI","Bright-Snow Red-Green Context","permafrost","Permafrost & Arctic","snow-algae","Snow Pigment Context","primary","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","SnowMask × pigment model calibrated to algae abundance and impurities, with higher-cadence imagery (e.g. Planet) for bloom timing","I[B02>0.4 and B03>0.4] × max[0, (B04−B03)/(B04+B03)+0.05] × 10","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live code uses visible-band brightness rather than NDSI and cannot uniquely attribute red snow to algae. The absolute brightness gates (B02, B03 > 0.4) assume offset-corrected surface reflectance. The live layer uses no Planet data.","Red/green spectral context over bright snow for field-reviewed algae studies.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Greenland Ice Sheet Algae Project / Nature","https://www.nature.com/articles/s41561-020-0582-5","Greenland ice sheet — algae bloom","67","-45","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","99.99","99.686","0.4393","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"FGDCI","Frozen Ground Dielectric Change Index","permafrost","Permafrost & Arctic","permafrost-change","Permafrost & Peat Change","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","(VV_dB − VH_dB) − seasonal_mean(VV_dB − VH_dB)","","Sentinel-1 SAR proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Frozen soil dielectric ~4; thawed ~20–30. 3–6 dB shifts in C-band VV. VV-VH difference normalizes vegetation; anomaly from seasonal mean isolates freeze/thaw transition.","Pan-Arctic freeze/thaw monitoring — tracks permafrost active layer dynamics from Sentinel-1 global coverage.","Uncalibrated","Not independently evaluated (below V1)","Context location only","C-band SAR freeze/thaw detection (Sentinel-1) — see ESA S1 user guide","https://sentinels.copernicus.eu/web/sentinel/user-guides/sentinel-1-sar","West Siberia — freeze/thaw transition","65","80","10","2021-10-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"MEPSI","Open Shallow-Water Pond Context","permafrost","Permafrost & Arctic","wetland-gas","Wetland Gas Surface Context","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Ebullition-pond identification calibrated to measured methane flux, with higher-cadence imagery (e.g. Planet) for pond dynamics","I[NDWI>0.1 and NDVI<0.15 and NDCI<0.05] × max(0, NDWI) × 3","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer gates on open water with low vegetation and low red-edge chlorophyll contrast. The third term is NDCI, a chlorophyll-a water index, used here as a bare-water proxy rather than a macrophyte measurement. Ebullition is not observed, and the live layer uses no Planet data.","Selects open, low-productivity ponds as candidate sites for flux measurement.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","High carbon emissions from thermokarst lakes of Western Siberia","https://www.nature.com/articles/s41467-019-09592-1","West Siberian Plain — methane pond","62.5","76","10","2021-08-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","9.583","9.583","0.6841","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"ALSI","Active Layer Depth Thermal-Spectral Composite","permafrost","Permafrost & Arctic","permafrost-change","Permafrost & Peat Change","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","0.6×(LST_anomaly/σ) + 0.4×[(B12−B11)/(B12+B11)]","","ECOSTRESS + Sentinel-2","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Deeper active layers → warmer surface temperatures (ECOSTRESS LST) + greater clay mineral exposure from frost churning (SWIR B12/B11 ratio). Requires ECOSTRESS thermal.","Satellite proxy for active layer depth — orders of magnitude denser than field probe networks.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Alaska North Slope — active layer","69.5","-148","10","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PDCSI","Pre-Deforestation Canopy Stress Index","tropicalforest","Tropical Forest","forest-canopy","Forest Canopy Condition","primary","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","[(B06−B05)/(B06+B05)] − [(B8A−B08)/(B8A+B08)]","[(B06−B05)/(B06+B05)] − [(B8A−B08)/(B8A+B08)]","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","Early-stage canopy thinning shifts the red-edge toward 705 nm (B05 dominance over B06) — detectable 6–18 months before clear-cutting by selective logging or burning.","Provides a 6–18 month warning before deforestation becomes visible — enables preventive enforcement.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","INPE TerraBrasilis PRODES and DETER data platform","https://terrabrasilis.dpi.inpe.br/en/home-page/","Amazon deforestation front — Pará Brazil","-4","-55","11","2021-05-18","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","26.881","14.309","0.6127","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"LISI","Canopy NIR/SWIR Structural Contrast","tropicalforest","Tropical Forest","forest-canopy","Forest Canopy Condition","variant","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Liana-infestation mapping calibrated to crown-level infestation labels with geographically blocked evaluation","2.5 × [(B08−B11)/(B08+B11+6B04−7.5B02+1)] × (B08/B11)","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer scales a NIR/SWIR difference by an EVI-style denominator and a NIR:SWIR1 ratio. The denominator includes a B11 term that earlier documentation omitted, so it is not the EVI denominator despite the similar shape; the expression is an EVI-inspired structural contrast rather than EVI applied to lianas. Liana-versus-tree separation is hypothesized, not demonstrated.","Low-cost canopy-structure contrast to be evaluated against crown-level liana labels and prior UAV/airborne work (Waite et al., 2019; Chandler et al., 2021).","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","PMC review on remote sensing for liana infestation detection","https://pmc.ncbi.nlm.nih.gov/articles/PMC12035525/","Borneo — liana-infested forest","1","113","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","98.165","29.463","0.6055","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"UBCDI","Understory vs. Canopy Burn Discrimination Index","tropicalforest","Tropical Forest","fire-effects","Fire Effects & Recovery","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","NBR × SWIR2_elevation proxy (single-date)","","Sentinel-2 context; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Canopy burns cause NIR collapse (no green canopy). Understory fires leave canopy mostly intact but alter SWIR2. Single-date: low NBR + elevated SWIR2 indicates understory fire.","Distinguishes fire type for tropical forest carbon accounting and recovery prognosis.","Uncalibrated","Not independently evaluated (below V1)","Context location only","NASA Fire Information for Resource Management System (FIRMS)","https://firms.modaps.eosdis.nasa.gov/","Amazon fire scar — Mato Grosso","-9","-52","11","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"FEDGI","Forest Edge Degradation Gradient Index","tropicalforest","Tropical Forest","forest-disturbance","Forest Disturbance & Carbon","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","NDVI gradient magnitude from interior toward edge","","Sentinel-2 context; proof target pending","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Edge-effect degradation creates a systematic NDVI gradient from forest interior toward the clearcut boundary — the gradient magnitude encodes how severe and how far edge effects penetrate.","Quantifies edge-effect fragmentation — estimates effective forest area accounting for border degradation.","Uncalibrated","Not independently evaluated (below V1)","Context location only","Hansen et al. Global Forest Change","https://glads.umd.edu/dataset/global-forest-change","Mato Grosso edge — forest fragmentation","-13","-56","11","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SLSDI","Selective Logging Scar Detection Index","tropicalforest","Tropical Forest","forest-disturbance","Forest Disturbance & Carbon","research-model","C2","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","BSI_gap × NDVI_gap × canopy_context","","Sentinel-2 + Planet","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Selective logging creates small-scale (<1 ha) gap openings within intact canopy — elevated BSI and reduced NDVI in a high-NDVI surrounding matrix signals logging scars.","Monitors illegal selective logging in concessions — actionable for forest governance enforcement.","Uncalibrated","Not independently evaluated (below V1)","Context location only","PNG Forest Authority Concession Audits","http://www.forestry.gov.pg/","Papua New Guinea — logging concession","-5","144","11","2021-09-15","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"ETCSI","Emergent Tree Crown Stress Index","tropicalforest","Tropical Forest","forest-canopy","Forest Canopy Condition","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","Per-crown red-edge stress from Planet 3 m delineation + S2 spectral","","Planet + Sentinel-2","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Individual emergent tree crown delineation requires Planet 3 m resolution; red-edge stress per delineated crown uses S2 spectral information. Requires Planet sensor, not available via SH WMS.","Monitors individual emergent tree health — sentinels for whole-forest stress propagation.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Barro Colorado Island Panama","9.15","-79.85","12","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"BSCMCI","Biological Soil Crust Multi-Condition Index","dryland","Dryland & Arid","dryland-processes","Dryland Surface Processes","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","[(ρ680−ρ720)/(ρ680+ρ720)] × [(ρ550/ρ670)−1]","","PRISMA / DESIS","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","BSC development stages have distinctive pigment signatures: cyanobacteria (680 nm), green algae (550 nm), lichen (usnic acid). Requires sub-10 nm spectral resolution from PRISMA or DESIS.","Maps biological soil crust condition — BSCs stabilize desert soils and prevent dust emission.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Colorado Plateau — BSC context","37.5","-110.5","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"SBCI","Sabkha Brine Chemistry Index","dryland","Dryland & Arid","dryland-processes","Dryland Surface Processes","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","depth(2217nm) / depth(2175nm)","","EMIT","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Gypsum at 2217 nm; anhydrite at 2175 nm. Anhydrite forms at higher brine concentration — ratio encodes brine concentration history. Requires EMIT 5 nm bands.","Maps sabkha brine chemistry — tracks paleo-hydrological conditions in hyperarid environments.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Empty Quarter Saudi Arabia — sabkha","23","52","10","2021-10-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CSCAI","Caliche Surface Carbonate Accumulation Index","dryland","Dryland & Arid","dryland-processes","Dryland Surface Processes","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","depth(2335nm) / depth(2160nm)","","EnMAP","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Calcite CO₃²⁻ absorption at 2335 nm vs. weaker feature at 2160 nm. Ratio encodes carbonate accumulation grade (Stage I–VI caliche). Requires EnMAP 10 nm resolution.","Maps caliche distribution — critical for water infiltration modeling in arid agriculture.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Chihuahuan Desert — caliche surface","29","-104","11","2021-08-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"DEFPI","Dust Emission Flux Proxy Index","dryland","Dryland & Arid","dryland-processes","Dryland Surface Processes","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Formula specified; not implemented in Atlas","mineral_erodibility(EMIT) × BSI(S2) × (1−soil_moisture(SMAP))","","EMIT + S2 + SMAP","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Three factors control dust emission: mineral erodibility (EMIT), bare soil fraction (BSI), and dry surface (SMAP inverted). Multi-sensor fusion required for accurate emission flux.","Improves global dust emission inventories — critical for aerosol climate modeling.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Sahel — dust emission season","15","0","9","2021-01-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"DLPEHI","Sparse-Vegetation and Bare-Soil Dryland Context","dryland","Dryland & Arid","dryland-processes","Dryland Surface Processes","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Oviposition-habitat model combining soil moisture, sparse-vegetation cover, and soil texture with a rainfall gate (e.g. GPM) and validated against ground locust survey records","I[0.05<NDVI<0.35] × I[−0.3<NDWI<0.1] × max(0, BSI + 0.1) × 5","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer gates on a sparse-vegetation NDVI window and an intermediate NDWI window, then scales a standard bare-soil index. The advertised NDTI texture term is NOT implemented — NDTI requires B12, which this script does not load — and a BSI bare-soil contrast stands in for it. The NDVI window is 0.05–0.35 as coded, not the 0.1–0.3 previously advertised, and NDWI acts as a gate rather than a multiplicative factor. There is no rainfall input, so no GPM data is used.","Dryland surface-context screening. Locust habitat or outbreak warning requires rainfall history, soil texture, and ground survey confirmation.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","FAO desert locust crisis response page","https://www.fao.org/emergencies/where-we-work/desert-locust-crisis/","East Africa — 2020 locust outbreak region","9","42","10","2020-02-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","57.392","55.602","0.666","2026-07-25T13:59:47","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"AIBEAI","Arroyo Incision and Bank Erosion Activity Index","dryland","Dryland & Arid","dryland-processes","Dryland Surface Processes","research-model","C1","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Executable but non-live","BSI_channel_bottom / NDVI_channel_margin","","Sentinel-2 + Planet","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Uncalibrated dimensionless screening score","Active incision exposes fresh bright mineral soils (high BSI). Stable channels have established bank vegetation (positive NDVI at margins). Ratio encodes incision vs. stability state.","Maps actively eroding arroyos — guides erosion control investment and predicts downstream sediment loads.","Uncalibrated","Not independently evaluated (below V1)","Context location only","USGS Arroyo Restoration / Bureau of Land Management","https://www.blm.gov/new-mexico","New Mexico — arroyo incision","33.35","-107.25","12","2021-07-02","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"PWTDI","Peatland Water-Table Calibration Model","wetland","Wetland & Peatland","wetland-hydrology","Wetland Hydrology","research-model","C2","Provisional; entry-level prior-art review pending","M2","2.0","Non-live executable formula","false","Field calibration required","Logger-calibrated regression with geographic and temporal holdouts","","Sentinel-1 GRD | Sentinel-2 L2A | water-table loggers | vegetation and seasonal covariates","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Estimated depth after calibration","Sentinel-2 B09 is a coarse atmospheric-water-vapor band, not a direct 970/1020 nm Sphagnum water-content channel. Water-table depth must be calibrated to in-situ loggers.","Defines a radar-optical water-table experiment rather than an operational WTD product.","Uncalibrated","Not independently evaluated (below V1)","Context location only","Biebrza National Park Research / Copernicus EMS","https://www.biebrza.org.pl/","Biebrza Marshes Poland — peatland WTD","53.55","23.08","11","2021-05-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"MHSSP","Open Anoxic-Surface Context Proxy","wetland","Wetland & Peatland","wetland-gas","Wetland Gas Surface Context","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Surface-context features combined with an atmospheric methane retrieval (e.g. TROPOMI) and plume-transport modelling","max(0,NDWI) × max(0, 0.3−NDVI) × max(0, 0.1−(B05−B04)/(B05+B04)) × 20","Sentinel-2 L2A","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live formula identifies wet, low-vegetation, low-red-edge surfaces. The red-edge term is a fixed threshold, not the advertised normalization against a local maximum. It does not measure methane flux or identify emission hotspots, and the live layer uses no TROPOMI data.","Candidate surface-context feature for studies with chamber, tower, or atmospheric methane measurements.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","NASA DeltaX Project / USGS Wetlands Center","https://deltax.jpl.nasa.gov/","Mississippi River Delta — methane hotspot","29","-89.5","10","2021-07-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","92.133","88.459","0.7352","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"TFIDI","Single-Date Tidal-Zone Wetness Context","wetland","Wetland & Peatland","wetland-hydrology","Wetland Hydrology","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Clear-observation NDWI percentile spread across a tidal time series","I[−0.1<NDWI<0.4] × I[B11<0.1] × max(0,NDWI+0.15) × 2","Sentinel-2 monthly","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live layer contains no variability calculation. It displays a single-date intermediate wetness condition.","Selects likely tidal-transition surfaces for a hydroperiod time-series analysis.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Frontiers study of Yellow River Delta tidal-flat dynamics","https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2023.1259081/full","Yellow River Delta China — tidal flat","37.76","119.18","11","2021-08-17","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","35.231","34.834","0.7355","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"WDPTZI","Peat Moisture Transition Proxy","wetland","Wetland & Peatland","wetland-hydrology","Wetland Hydrology","component","C1","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Spatial gradient magnitude or edge detector applied to a co-registered peat-moisture surface","I[0.05<|(B11−B8A)/(B11+B8A)|<0.3] × |NDWI| × 3","Sentinel-2","Single-scene","Per-pixel","Uncalibrated dimensionless screening score","The live evalscript is per-pixel and does not calculate a Sobel operator or neighborhood gradient.","Moisture-transition context for a later spatial edge-analysis workflow.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","The Cryosphere study of Western Siberian thermokarst lake waters","https://tc.copernicus.org/articles/8/1177/2014/tc-8-1177-2014.pdf","West Siberia — peatland transition zone","61.5","69","11","2021-07-15","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","20.153","20.095","0.7328","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"IPVSI","Dense-Canopy Red-Edge Ratio Context","wetland","Wetland & Peatland","wetland-vegetation","Wetland Vegetation Structure","primary","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Seasonal multi-date Phragmites discrimination calibrated to mapped stands of invasive and native marsh vegetation","I[NDVI>0.6 and NDRE>0.3] × max(0, NDRE/NDVI − 0.5) × 3","Sentinel-2 seasonal","Single-scene; proposed workflow requires a seasonal series","Per-pixel","Uncalibrated dimensionless screening score","The live layer is single-date, not seasonal. It gates on dense green canopy and displays the red-edge-to-NDVI ratio above a fixed offset. Dense monoculture and species-diverse marsh are not separated by this expression alone; the ratio responds to canopy density and chlorophyll, which many wetland species share.","Selects dense-canopy wetland patches for field or multi-date review; it does not identify Phragmites or any other species.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Great Lakes Phragmites Collaborative","https://www.greatlakesphragmites.net/","Detroit River marshes — Phragmites invasion","41.9","-83.2","11","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","100","9.806","0.7841","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"WVTDI","Wetland Vegetation-Water Balance Context","wetland","Wetland & Peatland","wetland-vegetation","Wetland Vegetation Structure","variant","C2","Provisional; entry-level prior-art review pending","M3","2.0","Live catalog visualization","true","Live screening proxy","Multi-date wetland vegetation-type classification calibrated to surveyed sedge, rush, forb, and reed communities","I[NDWI>−0.2 and NDVI>0.2] × [0.6 × NDVI + 0.4 × max(0, NDWI + 0.2)]","Sentinel-2 time series","Single-scene; proposed workflow requires a multi-date series","Per-pixel","Uncalibrated dimensionless screening score","The live layer is a single-date weighted sum of greenness and wetness inside a wet-vegetation gate. It produces a continuous vegetation-water balance score, not a vegetation-type class, and the weights are unfitted design choices rather than calibrated coefficients.","Continuous wetland vegetation-water context for stratifying field survey effort.","Uncalibrated","Not independently evaluated (below V1)","Reviewed event context; not performance evidence","Tour du Valat Research Institute / Camargue","https://tourduvalat.org/en/","Camargue France — wetland diversity","43.47","4.58","11","2021-05-02","End of the Atlas WMS search window; not an acquisition timestamp","","","strong","2.781","2.52","0.6432","2026-07-21T17:54:06","Automated overlay visibility only; not accuracy, validation, target attribution, or acquisition-time confirmation","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
"CMSTI","Clay-Mineral Absorption-Position Model","hyperspectral","Hyperspectral-Enabled","hyperspectral-materials","Hyperspectral Materials","research-model","C1","Provisional; entry-level prior-art review pending","M1","2.0","Specified concept or retired formula","false","Spectral fitting required","Mineral classification f(λ_min, feature shape, spectral library, mixture model, uncertainty)","","EMIT","Declared workflow; not implemented in Atlas","Declared workflow; not implemented in Atlas","Fitted wavelength and classification uncertainty","An approximately 8 nm target shift is comparable to EMIT sampling and cannot be treated as a direct one-channel minimum. Spectral fitting, signal-to-noise, mixtures, and wavelength uncertainty are required.","Defines a falsifiable clay-mineral separability experiment.","Uncalibrated","Not independently evaluated (below V1)","Context location only","","","Painted Desert AZ — clay mineral diversity","35","-110.7","11","2021-09-01","End of the Atlas WMS search window; not an acquisition timestamp","","","","","","","","Not applicable because the proposed workflow is not rendered","2026-07-25","60521236a911dc4687831050c04d307822c0f116"
